id_plato,nombre,descripcion,precio,id_categoria
6,Bruschetta de Tomate y Albahaca,"Pan tostado con tomates frescos, ajo, albahaca y aceite de oliva.",6.50,1
7,Calamares a la Romana,"Anillos de calamar rebozados y fritos, servidos con limon y salsa tartara.",12.80,1
8,Guacamole con Totopos,"Aguacate machacado con cebolla, cilantro, tomate y chile, servido con chips de maiz.",9.00,1
9,Provoleta a la Parrilla,"Queso provolone a la parrilla con oregano y un toque de aceite de oliva.",10.50,1
10,Ceviche de Pescado Clasico,"Trozos de pescado fresco marinados en jugo de limon con cebolla morada y cilantro.",14.20,1
11,Empanadas de Carne,"Masa rellena de carne molida sazonada, horneada o frita.",7.80,1
12,Carpaccio de Res,"Finas laminas de carne de res cruda con alcaparras, parmesano y aceite de oliva.",15.50,1
13,Tostadas de Tinga de Pollo,"Tostadas crujientes con pollo deshebrado en salsa de chipotle.",8.90,1
14,Hummus con Pan Pita,"Pure de garbanzos con tahini, limon y ajo, servido con pan pita caliente.",8.50,1
15,Patatas Bravas,"Papas cortadas en cubos, fritas y servidas con salsa brava picante.",7.20,1
16,Sopa de Tortilla,"Caldo de tomate con tiras de tortilla frita, aguacate, queso y crema.",9.50,1
17,Queso Fundido con Chorizo,"Mezcla de quesos derretidos con chorizo, servido con tortillas.",11.80,1
18,Edamame al Vapor,"Vainas de soja jovenes hervidas y sazonadas con sal marina.",6.80,1
19,Rollitos de Primavera,"Rollos fritos rellenos de vegetales y carne.",7.50,1
20,Satay de Pollo,"Brochetas de pollo marinado y a la parrilla, servidas con salsa de mani.",10.20,1
21,Croquetas de Jamon Serrano,"Cremosas croquetas rellenas de jamon serrano.",9.80,1
22,Ensalada Caprese,"Rodajas de tomate y mozzarella fresca con hojas de albahaca y aceite balsamico.",11.50,1
23,Pulpo a la Gallega,"Pulpo cocido con papas, pimenton y aceite de oliva.",18.50,1
24,Alitas de Pollo BBQ,"Alitas de pollo fritas y banadas en salsa barbacoa.",12.00,1
25,Nachos Supremos,"Totopos cubiertos con queso, frijoles, carne, guacamole, crema y jalapenos.",13.50,1
26,Lomo Saltado,"Tiras de lomo de res salteadas con cebolla, tomate, papas fritas y servido con arroz.",18.90,2
27,Paella Valenciana,"Arroz con azafran, pollo, conejo, judias verdes y garrofon.",24.50,2
28,Spaghetti alla Carbonara,"Pasta con huevo, queso pecorino, panceta y pimienta negra.",16.50,2
29,Salmon a la Plancha con Verduras,"Filete de salmon a la plancha con esparragos y brocoli al vapor.",22.00,2
30,Bife de Chorizo con Chimichurri,"Corte de carne de res a la parrilla servido con salsa chimichurri.",25.50,2
31,Pollo al Curry con Arroz Basmati,"Trozos de pollo en una cremosa salsa de curry, servido con arroz basmati.",17.80,2
32,Ramen de Cerdo (Tonkotsu),"Sopa de fideos japonesa con caldo de cerdo, chashu, huevo marinado y nori.",18.50,2
33,Lasagna Bolognesa,"Capas de pasta con salsa bolonesa, bechamel y queso parmesano, horneada.",17.00,2
34,Tacos al Pastor,"Carne de cerdo marinada cocinada en un trompo, servida en tortillas de maiz con pina.",14.50,2
35,Risotto de Champinones,"Arroz arboreo cremoso cocinado con champinones frescos y parmesano.",19.00,2
36,Pato a la Naranja,"Pato asado con una salsa agridulce de naranja.",28.00,2
37,Cochinillo Asado,"Cochinillo tierno y crujiente asado lentamente.",35.00,2
38,Fettuccine Alfredo con Pollo,"Pasta fettuccine en una rica salsa de crema y queso parmesano con pollo a la parrilla.",18.00,2
39,Mole Poblano con Pollo,"Piezas de pollo banadas en una compleja salsa de chiles, especias y chocolate.",19.50,2
40,Sushi Variado (Moriawase),"Seleccion de nigiris y makis del chef.",26.00,2
41,Filete Mignon,"Corte de solomillo de res envuelto en tocino, cocinado al termino deseado.",32.00,2
42,Pad Thai,"Fideos de arroz salteados con camarones o pollo, tofu, brotes de soja y mani.",17.50,2
43,Costillas de Cerdo en Salsa BBQ,"Costillar de cerdo horneado lentamente y banado en salsa barbacoa.",23.50,2
44,Pizza Margherita,"Pizza clasica con salsa de tomate, mozzarella fresca y albahaca.",15.00,2
45,Churrasco Brasileno,"Seleccion de carnes a la espada servidas en la mesa.",34.00,2
46,Hamburguesa Clasica con Papas,"Hamburguesa de res con lechuga, tomate, cebolla, queso y papas fritas.",14.80,2
47,Milanesa a la Napolitana,"Filete de res empanizado, cubierto con salsa de tomate, jamon y queso mozzarella.",18.50,2
48,Goulash Hungaro,"Estofado de carne de res con pimenton, servido con noquis o pan.",20.00,2
49,Cazuela de Mariscos,"Surtido de mariscos cocidos en un caldo aromatico.",24.00,2
50,Pescado a la Talla,"Pescado entero marinado con adobo rojo y verde, asado a las brasas.",21.50,2
51,Tiramisu,"Postre italiano de capas de bizcochos de soletilla mojados en cafe, crema de mascarpone y cacao.",8.50,3
52,Flan de Caramelo (Creme Caramel),"Postre de huevos, leche y azucar, con una capa de caramelo liquido.",6.50,3
53,Tarta de Queso (Cheesecake),"Tarta cremosa de queso sobre una base de galleta, con cobertura de frutos rojos.",7.80,3
54,Mousse de Chocolate,"Espuma de chocolate aireada y rica, servida fria.",7.00,3
55,Crepas Suzette,"Crepas finas banadas en una salsa de mantequilla, azucar, y licor de naranja, flambeada.",9.50,3
56,Pastel de Tres Leches,"Bizcocho banado en una mezcla de tres tipos de leche, cubierto con merengue o crema batida.",8.00,3
57,Helado Artesanal (2 bolas),"Seleccion de sabores de helado hecho en casa.",5.50,3
